# BUSCO version is: 3.0.2 
# The lineage dataset is: actinopterygii_odb9 (Creation date: 2016-02-13, number of species: 20, number of BUSCOs: 4584)
# To reproduce this run: python /work/jpacheco/busco/scripts/run_BUSCO.py -i /work/jpacheco/pacheco_finalpractical/data/Hybrid_assembly.fasta -o busco_analysis_raw -l /work/jpacheco/pacheco_finalpractical/actinopterygii_odb9/ -m genome -c 20 -sp zebrafish
#
# Busco id	Status	Contig	Start	End	Score	Length
EOG090C000D	Complete	scaffold6187	155939	246546	6476.6	4332
EOG090C000L	Complete	scaffold2256	63431	126092	9297.2	4400
EOG090C000M	Complete	scaffold3426	15957	67941	8904.5	4347
EOG090C000O	Complete	scaffold2910	51778	78694	8838.9	3993
EOG090C0012	Complete	scaffold2182	602541	678580	8696.2	4052
EOG090C0013	Complete	scaffold2883	436642	501817	4500.4	3249
EOG090C001G	Complete	scaffold5767	281098	383909	6976.9	3490
EOG090C001H	Complete	scaffold0644	350742	373523	4644.2	3886
EOG090C001I	Complete	scaffold0963	271277	283982	3755.7	2528
EOG090C001K	Complete	scaffold6116	895180	922303	8780.5	4139
EOG090C002C	Complete	scaffold1929	6702	146710	6276.1	2973
EOG090C002E	Complete	scaffold2933	1150891	1208575	6588.7	3232
EOG090C002F	Complete	scaffold2816	808530	856132	3427.6	2498
EOG090C0039	Complete	scaffold0489	14454	60078	5861.3	2811
EOG090C003B	Complete	scaffold1912	40375	90845	4110.4	3052
EOG090C003E	Complete	scaffold6116	443936	475061	5054.4	2714
EOG090C003K	Complete	scaffold4285	8027	30618	4262.0	2989
EOG090C003L	Complete	scaffold1955	385465	442611	5280.3	3012
EOG090C003P	Complete	scaffold6267	503148	618134	5544.0	2543
EOG090C003R	Complete	scaffold3820	25772	82731	5484.9	2635
EOG090C003T	Complete	scaffold3018	412139	486007	3977.9	2724
EOG090C003V	Complete	scaffold3015	220164	241021	1359.2	836
EOG090C003X	Complete	scaffold4245	1	35181	4770.8	3450
EOG090C0044	Complete	scaffold2058	119547	151160	5420.7	2718
EOG090C0045	Duplicated	scaffold3845	1086	4241	1086.1	1173
EOG090C0045	Duplicated	scaffold3845	19871	41519	1219.6	978
EOG090C004I	Complete	scaffold1941	39146	80982	5370.0	2537
EOG090C0051	Missing
EOG090C005E	Complete	scaffold2070	178534	280683	4782.3	2207
EOG090C005G	Complete	scaffold3674	72838	107739	4992.3	2282
EOG090C005H	Complete	scaffold2857	41946	66437	2535.1	1638
EOG090C005N	Complete	scaffold2803	357208	389834	4534.1	2056
EOG090C005U	Complete	scaffold2168	14290	81146	4798.7	2348
EOG090C0060	Complete	scaffold2213	62159	94684	3790.7	2327
EOG090C0062	Complete	scaffold4556	66221	81747	5554.2	2268
EOG090C0064	Duplicated	scaffold4054	27781	76508	1534.9	1585
EOG090C0064	Duplicated	scaffold6338	10295	57965	1538.3	1622
EOG090C0067	Complete	scaffold3778	12078	40237	4121.3	2501
EOG090C0069	Complete	scaffold2113	332219	361040	3806.6	1979
EOG090C006E	Complete	scaffold3891	98691	135823	3977.6	2180
EOG090C006L	Complete	scaffold3028	144714	188046	3982.7	1925
EOG090C006S	Complete	scaffold3899	10352	37180	2842.6	1750
EOG090C006T	Complete	scaffold3092	343148	383308	3896.7	1909
EOG090C006Y	Complete	scaffold2375	1425639	1456993	5126.0	2443
EOG090C006Z	Complete	scaffold3451	921699	957545	3659.6	2076
EOG090C0070	Complete	scaffold2165	333337	351715	4388.7	1991
EOG090C0071	Complete	scaffold2390	9572	30437	3681.0	1851
