# BUSCO version is: 3.0.2 
# The lineage dataset is: actinopterygii_odb9 (Creation date: 2016-02-13, number of species: 20, number of BUSCOs: 4584)
# To reproduce this run: python /work/jpacheco/busco/scripts/run_BUSCO.py -i /work/jpacheco/pacheco_finalpractical/output/pilon.fasta -o busco_analysis_improved -l /work/jpacheco/pacheco_finalpractical/actinopterygii_odb9/ -m genome -c 20 -sp zebrafish
#
# Busco id	Status	Contig	Start	End	Score	Length
EOG090C000D	Complete	scaffold6187_pilon	156021	246624	6476.6	4332
EOG090C000L	Complete	scaffold2256_pilon	63442	126103	9297.2	4400
EOG090C000M	Complete	scaffold3426_pilon	15957	67918	8904.5	4347
EOG090C000O	Complete	scaffold2910_pilon	51778	78694	8838.9	3993
EOG090C0012	Complete	scaffold2182_pilon	602836	678882	8696.2	4052
EOG090C0013	Complete	scaffold2883_pilon	436581	501757	4500.4	3249
EOG090C001G	Complete	scaffold5767_pilon	281034	383769	6976.9	3490
EOG090C001H	Complete	scaffold0644_pilon	350692	373473	4644.2	3886
EOG090C001I	Complete	scaffold0963_pilon	271206	283911	3755.7	2528
EOG090C001K	Complete	scaffold6116_pilon	895149	922272	8780.5	4139
EOG090C002C	Complete	scaffold1929_pilon	6702	146678	6276.1	2973
EOG090C002E	Complete	scaffold2933_pilon	1150588	1208276	6588.7	3232
EOG090C002F	Complete	scaffold2816_pilon	808558	856154	3427.4	2493
EOG090C0039	Complete	scaffold0489_pilon	14454	60078	5861.3	2811
EOG090C003B	Complete	scaffold1912_pilon	40422	90912	4110.1	3077
EOG090C003E	Complete	scaffold6116_pilon	443861	474986	5054.4	2714
EOG090C003K	Complete	scaffold4285_pilon	8027	30618	4262.0	2989
EOG090C003L	Complete	scaffold1955_pilon	385398	442550	5280.3	3012
EOG090C003P	Complete	scaffold6267_pilon	503197	618172	5544.0	2543
EOG090C003R	Complete	scaffold3820_pilon	25771	82518	5484.9	2635
EOG090C003T	Complete	scaffold3018_pilon	411716	485566	3977.9	2724
EOG090C003V	Complete	scaffold3015_pilon	219892	240749	1359.2	836
EOG090C003X	Complete	scaffold4245_pilon	1	35147	4770.8	3450
EOG090C0044	Complete	scaffold2058_pilon	119790	151405	5420.7	2718
EOG090C0045	Duplicated	scaffold3845_pilon	1086	4241	1086.1	1173
EOG090C0045	Duplicated	scaffold3845_pilon	19871	41527	1219.6	978
EOG090C004I	Complete	scaffold1941_pilon	39144	80984	5370.0	2537
EOG090C0051	Missing
EOG090C005E	Complete	scaffold2070_pilon	178515	280614	4782.6	2207
EOG090C005G	Complete	scaffold3674_pilon	72810	107711	4992.3	2282
EOG090C005H	Complete	scaffold2857_pilon	41946	66437	2535.1	1638
EOG090C005N	Complete	scaffold2803_pilon	357101	389727	4534.1	2056
EOG090C005U	Complete	scaffold2168_pilon	14290	81146	4798.7	2348
EOG090C0060	Complete	scaffold2213_pilon	62071	94596	3790.7	2327
EOG090C0062	Complete	scaffold4556_pilon	66223	81749	5554.2	2268
EOG090C0064	Duplicated	scaffold4054_pilon	27703	76416	1566.8	1585
EOG090C0064	Duplicated	scaffold6338_pilon	10295	57965	1538.3	1622
EOG090C0067	Complete	scaffold3778_pilon	11958	40117	4121.3	2501
EOG090C0069	Complete	scaffold2113_pilon	332144	360965	3806.6	1979
EOG090C006E	Complete	scaffold3891_pilon	98655	135787	3977.6	2180
EOG090C006L	Complete	scaffold3028_pilon	144709	188044	3982.7	1925
EOG090C006S	Complete	scaffold3899_pilon	10355	37180	2842.6	1750
EOG090C006T	Complete	scaffold3092_pilon	342932	383092	3896.7	1909
EOG090C006Y	Complete	scaffold2375_pilon	1425436	1456790	5126.0	2443
EOG090C006Z	Complete	scaffold3451_pilon	921488	957293	3659.6	2076
EOG090C0070	Complete	scaffold2165_pilon	333294	351678	4388.7	1991
EOG090C0071	Complete	scaffold2390_pilon	9572	30437	3681.0	1851
EOG090C007A	Complete	scaffold6281_pilon	105777	136050	3887.5	1876
EOG090C007N	Complete	scaffold3430_pilon	186448	205088	2101.7	1071
EOG090C007O	Complete	scaffold4162_pilon	101748	125284	2118.4	1284
EOG090C007V	Complete	scaffold3231_pilon	318221	365680	3368.9	1716
EOG090C007Y	Complete	scaffold3576_pilon	305937	345570	3859.4	1875
EOG090C007Z	Complete	scaffold6271_pilon	379277	392212	3157.6	1918
EOG090C0087	Complete	scaffold6186_pilon	581281	616011	1973.1	1412
EOG090C008I	Complete	scaffold5953_pilon	565482	602870	2469.2	1568
EOG090C008K	Complete	scaffold4205_pilon	146831	165158	3654.1	2727
EOG090C008M	Complete	scaffold2449_pilon	969296	994997	2797.8	1561
EOG090C008V	Complete	scaffold4146_pilon	103853	115045	3258.2	2019
EOG090C008X	Complete	scaffold0704_pilon	4822	20469	3970.9	1920
EOG090C008Y	Complete	scaffold4028_pilon	10471	27615	3957.4	1908
EOG090C008Z	Complete	scaffold2863_pilon	37196	79668	3727.9	1785
EOG090C0099	Complete	scaffold1891_pilon	445853	502724	3331.4	1632
EOG090C009C	Complete	scaffold4194_pilon	51621	113772	3664.0	1834
EOG090C009J	Complete	scaffold2070_pilon	523906	616741	2822.3	1483
EOG090C009Q	Complete	scaffold3271_pilon	156993	199532	3674.3	1888
EOG090C009W	Complete	scaffold2000_pilon	294647	320349	872.1	611
EOG090C00A0	Complete	scaffold1177_pilon	234362	259792	2105.3	1492
EOG090C00AD	Complete	scaffold3451_pilon	693153	738139	3572.9	1979
EOG090C00AG	Complete	scaffold3234_pilon	8473	41297	3020.7	1796
EOG090C00AN	Complete	scaffold3344_pilon	217660	246559	3224.6	1796
EOG090C00AQ	Complete	scaffold1910_pilon	1024444	1132412	3399.7	1690
EOG090C00AV	Complete	scaffold3262_pilon	527406	551486	1703.7	1511
EOG090C00B1	Complete	scaffold3576_pilon	650399	669726	2843.7	1630
EOG090C00B3	Complete	scaffold4289_pilon	22045	50258	1748.8	1926
EOG090C00BD	Complete	scaffold4310_pilon	30790	55628	3136.0	1975
EOG090C00BE	Complete	scaffold3992_pilon	33790	48262	2535.7	1541
EOG090C00BG	Complete	scaffold2933_pilon	806144	825677	3718.2	1795
EOG090C00BJ	Complete	scaffold3167_pilon	412441	492238	1744.2	1618
EOG090C00BK	Complete	scaffold2112_pilon	131451	150689	3675.5	1748
EOG090C00BM	Complete	scaffold2169_pilon	179299	266740	2112.4	1288
EOG090C00BS	Complete	scaffold5808_pilon	30683	51296	2721.7	1423
EOG090C00BT	Complete	scaffold2390_pilon	337075	348609	3241.2	1704
EOG090C00BU	Complete	scaffold6311_pilon	271244	319869	2642.8	1649
EOG090C00BW	Fragmented	scaffold3484_pilon	1	24151	1728.5	935
EOG090C00BX	Complete	scaffold2100_pilon	54461	84908	2413.9	1546
